Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume POT,Volume BTC,,,,,,
1605855600,2020-11-20 07-AM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605852000,2020-11-20 06-AM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605848400,2020-11-20 05-AM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605844800,2020-11-20 04-AM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605841200,2020-11-20 03-AM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605837600,2020-11-20 02-AM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605834000,2020-11-20 01-AM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605830400,2020-11-20 12-AM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605826800,2020-11-19 11-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605823200,2020-11-19 10-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605819600,2020-11-19 09-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605816000,2020-11-19 08-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605812400,2020-11-19 07-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605808800,2020-11-19 06-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605805200,2020-11-19 05-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605801600,2020-11-19 04-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605798000,2020-11-19 03-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605794400,2020-11-19 02-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605790800,2020-11-19 01-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605787200,2020-11-19 12-PM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
1605783600,2020-11-19 11-AM,POTBTC,256410.26,256410.26,256410.26,256410.26,0,0,,,,,,
