Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HUSD
1605855600.0,2020-11-20 07-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605852000.0,2020-11-20 06-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605848400.0,2020-11-20 05-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605844800.0,2020-11-20 04-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605841200.0,2020-11-20 03-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605837600.0,2020-11-20 02-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605834000.0,2020-11-20 01-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605830400.0,2020-11-20 12-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605826800.0,2020-11-19 11-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605823200.0,2020-11-19 10-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605819600.0,2020-11-19 09-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605816000.0,2020-11-19 08-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605812400.0,2020-11-19 07-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605808800.0,2020-11-19 06-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605805200.0,2020-11-19 05-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605801600.0,2020-11-19 04-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605798000.0,2020-11-19 03-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605794400.0,2020-11-19 02-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605790800.0,2020-11-19 01-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605787200.0,2020-11-19 12-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605783600.0,2020-11-19 11-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605780000.0,2020-11-19 10-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605776400.0,2020-11-19 09-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605772800.0,2020-11-19 08-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605769200.0,2020-11-19 07-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605765600.0,2020-11-19 06-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605762000.0,2020-11-19 05-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605758400.0,2020-11-19 04-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605754800.0,2020-11-19 03-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605751200.0,2020-11-19 02-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605747600.0,2020-11-19 01-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605744000.0,2020-11-19 12-AM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605740400.0,2020-11-18 11-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605736800.0,2020-11-18 10-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
1605733200.0,2020-11-18 09-PM,DASHUSD,153.85,153.85,153.85,153.85,0.0,0.0
