#{"t_start": 1676501395.3714826, "env_id": null}
r,l,t
-131348.606144,23665,50.49732
-131348.606144,23665,97.232233
-65342.805959,23665,141.398338
-65342.805959,23665,189.196359
-65342.805959,23665,237.353454
-41490.566922,23665,286.912144
-41490.566922,23665,333.551056
-160088.205103,23665,382.541775
-160088.205103,23665,430.754565
-160088.205103,23665,477.450276
-78978.20469,23665,523.071916
-78978.20469,23665,570.308528
-41152.346608,23665,618.040311
-41152.346608,23665,665.492595
-41152.346608,23665,712.607527
-71028.638957,23665,758.969674
-71028.638957,23665,804.634113
-73715.471665,23665,850.952818
-73715.471665,23665,895.903937
-73715.471665,23665,944.029245
-115634.413512,23665,990.403387
-115634.413512,23665,1037.719197
-115634.413512,23665,1082.474633
-148119.480144,23665,1129.282593
-148119.480144,23665,1175.025873
-109410.359459,23665,1223.665694
-109410.359459,23665,1270.353892
-109410.359459,23665,1316.538032
-108465.263301,23665,1363.176203
-108465.263301,23665,1410.617975
-110654.136041,23665,1457.505277
-110654.136041,23665,1504.048254
-110654.136041,23665,1553.591468
-124429.560887,23665,1599.869036
-124429.560887,23665,1647.20667
-102453.828026,23665,1693.410131
-102453.828026,23665,1741.909027
-102453.828026,23665,1788.498981
-56623.361963,23665,1833.915058
-56623.361963,23665,1878.629509
-63838.815429,23665,1923.761479
-63838.815429,23665,1967.764274
-63838.815429,23665,2012.737686
-63521.427607,23665,2057.933061
-63521.427607,23665,2104.76545
-63521.427607,23665,2151.622585
-71289.107244,23665,2199.201073
-71289.107244,23665,2243.045933
-53661.332537,23665,2287.815879
-53661.332537,23665,2331.636553
-53661.332537,23665,2376.247575
-48888.24023,23665,2420.26861
-48888.24023,23665,2465.077638
-26113.487073,23665,2508.616524
-26113.487073,23665,2553.285316
-26113.487073,23665,2596.569831
-43191.932095,23665,2641.787832
-43191.932095,23665,2685.656537
-40480.055811,23665,2730.746624
-40480.055811,23665,2774.682109
-40480.055811,23665,2819.348067
-24012.075877,23665,2863.27104
-24012.075877,23665,2908.106384
-24012.075877,23665,2951.892078
-22992.046532,23665,2996.632219
-22992.046532,23665,3040.498797
-51102.769802,23665,3085.475259
-51102.769802,23665,3129.204125
-51102.769802,23665,3173.493474
-28275.773708,23665,3217.167945
-28275.773708,23665,3261.680081
-57985.67267,23665,3306.576407
-57985.67267,23665,3349.630938
-57985.67267,23665,3394.236522
-50935.984093,23665,3437.76576
-50935.984093,23665,3481.768988
-75232.213482,23665,3525.81859
-75232.213482,23665,3570.446315
-75232.213482,23665,3614.22552
-12560.330452,23665,3657.726626
-12560.330452,23665,3702.231623
-20984.289505,23665,3747.154955
-20984.289505,23665,3790.288435
-20984.289505,23665,3834.455884
-26132.292379,23665,3878.092142
-26132.292379,23665,3922.193929
-26132.292379,23665,3965.18125
-8567.065973,23665,4009.163213
-8567.065973,23665,4052.068075
-7662.77335,23665,4095.65498
-7662.77335,23665,4140.261837
-7662.77335,23665,4183.274554
-25805.068729,23665,4227.925635
-25805.068729,23665,4271.350695
-27044.831817,23665,4315.711642
-27044.831817,23665,4358.809486
-27044.831817,23665,4403.193921
-17193.984289,23665,4446.708073
-17193.984289,23665,4490.901973
-63347.020845,23665,4535.633584
-63347.020845,23665,4578.706569
-63347.020845,23665,4622.860454
-12707.784683,23665,4665.821933
-12707.784683,23665,4709.679439
-26311.584871,23665,4752.756484
-26311.584871,23665,4797.191524
-26311.584871,23665,4840.134648
-26406.011301,23665,4883.894787
-26406.011301,23665,4928.297505
-26406.011301,23665,4971.674201
-36272.929842,23665,5016.734052
-36272.929842,23665,5060.305768
-15637.75497,23665,5104.66827
-15637.75497,23665,5147.650951
-15637.75497,23665,5192.133776
-11261.54415,23665,5236.085132
-11261.54415,23665,5281.19354
-6839.320924,23665,5324.823508
-6839.320924,23665,5369.128979
-6839.320924,23665,5412.714188
-12296.698849,23665,5455.972942
-12296.698849,23665,5500.308281
-32928.396588,23665,5545.136316
-32928.396588,23665,5588.161275
-32928.396588,23665,5636.948616
-3679.621997,23665,5683.55915
-3679.621997,23665,5731.212151
-3679.621997,23665,5777.201935
-13739.60029,23665,5825.163702
-13739.60029,23665,5871.235117
-3520.500593,23665,5917.389224
-3520.500593,23665,5964.486589
-3520.500593,23665,6010.153826
-2167.232335,23665,6056.783241
-2167.232335,23665,6103.949346
-4498.758128,23665,6151.610838
-4498.758128,23665,6197.269969
-4498.758128,23665,6243.946031
-5231.245089,23665,6289.442222
-5231.245089,23665,6337.755525
-9058.146095,23665,6385.613054
-9058.146095,23665,6432.100868
-9058.146095,23665,6479.336578
-2085.05695,23665,6526.282831
-2085.05695,23665,6572.466746
-2119.744391,23665,6619.445231
-2119.744391,23665,6665.147614
-2119.744391,23665,6711.491033
-4527.530214,23665,6756.885638
-4527.530214,23665,6803.476136
-4527.530214,23665,6848.884818
-4088.120228,23665,6895.013236
-4088.120228,23665,6942.232687
-1710.256117,23665,6989.466765
-1710.256117,23665,7034.928916
-1710.256117,23665,7082.089813
-2338.108787,23665,7127.796893
-2338.108787,23665,7174.543541
-5283.2443,23665,7222.178962
-5283.2443,23665,7268.084644
-5283.2443,23665,7314.917513
-2848.27393,23665,7362.065531
-2848.27393,23665,7407.9323
-2457.451838,23665,7454.252118
-2457.451838,23665,7501.055949
-2457.451838,23665,7546.862613
-1080.480221,23665,7593.293164
-1080.480221,23665,7641.041906
-1422.011169,23665,7686.978759
-1422.011169,23665,7733.367929
-1422.011169,23665,7778.882569
-3740.646258,23665,7825.304907
-3740.646258,23665,7872.249627
-3740.646258,23665,7918.065359
