#{"t_start": 1676501397.939168, "env_id": null}
r,l,t
-131348.606144,23665,47.930154
-131348.606144,23665,94.664048
-65342.805959,23665,138.829642
-65342.805959,23665,186.628674
-65342.805959,23665,234.785769
-41490.566922,23665,284.343958
-41490.566922,23665,330.984371
-160088.205103,23665,379.974089
-160088.205103,23665,428.18688
-160088.205103,23665,474.881079
-78978.20469,23665,520.50423
-78978.20469,23665,567.740843
-41152.346608,23665,615.473126
-41152.346608,23665,662.92541
-41152.346608,23665,710.038838
-71028.638957,23665,756.402494
-71028.638957,23665,802.06659
-73715.471665,23665,848.385633
-73715.471665,23665,893.336251
-73715.471665,23665,941.46156
-115634.413512,23665,987.835701
-115634.413512,23665,1035.151511
-115634.413512,23665,1079.906448
-148119.480144,23665,1126.714408
-148119.480144,23665,1172.457688
-109410.359459,23665,1221.098509
-109410.359459,23665,1267.786207
-109410.359459,23665,1313.970347
-108465.263301,23665,1360.608517
-108465.263301,23665,1408.05029
-110654.136041,23665,1454.938592
-110654.136041,23665,1501.480569
-110654.136041,23665,1551.023281
-124429.560887,23665,1597.301351
-124429.560887,23665,1644.638473
-102453.828026,23665,1690.843946
-102453.828026,23665,1739.340342
-102453.828026,23665,1785.932296
-56623.361963,23665,1831.346373
-56623.361963,23665,1876.062324
-63838.815429,23665,1921.192794
-63838.815429,23665,1965.19759
-63838.815429,23665,2010.170505
-63521.427607,23665,2055.365376
-63521.427607,23665,2102.197765
-63521.427607,23665,2149.0549
-71289.107244,23665,2196.633388
-71289.107244,23665,2240.477248
-53661.332537,23665,2285.248194
-53661.332537,23665,2329.069869
-53661.332537,23665,2373.679889
-48888.24023,23665,2417.700424
-48888.24023,23665,2462.509953
-26113.487073,23665,2506.048839
-26113.487073,23665,2550.71763
-26113.487073,23665,2594.002145
-43191.932095,23665,2639.218636
-43191.932095,23665,2683.089856
-40480.055811,23665,2728.178939
-40480.055811,23665,2772.113423
-40480.055811,23665,2816.780882
-24012.075877,23665,2860.703854
-24012.075877,23665,2905.538198
-24012.075877,23665,2949.324393
-22992.046532,23665,2994.064534
-22992.046532,23665,3037.930107
-51102.769802,23665,3082.908574
-51102.769802,23665,3126.63644
-51102.769802,23665,3170.926289
-28275.773708,23665,3214.60026
-28275.773708,23665,3259.111896
-57985.67267,23665,3304.009725
-57985.67267,23665,3347.063252
-57985.67267,23665,3391.668837
-50935.984093,23665,3435.198574
-50935.984093,23665,3479.200299
-75232.213482,23665,3523.250404
-75232.213482,23665,3567.878128
-75232.213482,23665,3611.656834
-12560.330452,23665,3655.158941
-12560.330452,23665,3699.663439
-20984.289505,23665,3744.58727
-20984.289505,23665,3787.72175
-20984.289505,23665,3831.888199
-26132.292379,23665,3875.524457
-26132.292379,23665,3919.626744
-26132.292379,23665,3962.614065
-8567.065973,23665,4006.594527
-8567.065973,23665,4049.500892
-7662.77335,23665,4093.086294
-7662.77335,23665,4137.693145
-7662.77335,23665,4180.707869
-25805.068729,23665,4225.35795
-25805.068729,23665,4268.784521
-27044.831817,23665,4313.143956
-27044.831817,23665,4356.242301
-27044.831817,23665,4400.624735
-17193.984289,23665,4444.138875
-17193.984289,23665,4488.334787
-63347.020845,23665,4533.065898
-63347.020845,23665,4576.138883
-63347.020845,23665,4620.293269
-12707.784683,23665,4663.253245
-12707.784683,23665,4707.111253
-26311.584871,23665,4750.189801
-26311.584871,23665,4794.623839
-26311.584871,23665,4837.566963
-26406.011301,23665,4881.326597
-26406.011301,23665,4925.72982
-26406.011301,23665,4969.108018
-36272.929842,23665,5014.166367
-36272.929842,23665,5057.738082
-15637.75497,23665,5102.100085
-15637.75497,23665,5145.083773
-15637.75497,23665,5189.566091
-11261.54415,23665,5233.517447
-11261.54415,23665,5278.625854
-6839.320924,23665,5322.255822
-6839.320924,23665,5366.561794
-6839.320924,23665,5410.147002
-12296.698849,23665,5453.405257
-12296.698849,23665,5497.740096
-32928.396588,23665,5542.56813
-32928.396588,23665,5585.59459
-32928.396588,23665,5634.38093
-3679.621997,23665,5680.990964
-3679.621997,23665,5728.644465
-3679.621997,23665,5774.63425
-13739.60029,23665,5822.596017
-13739.60029,23665,5868.667932
-3520.500593,23665,5914.820537
-3520.500593,23665,5961.918904
-3520.500593,23665,6007.58614
-2167.232335,23665,6054.216559
-2167.232335,23665,6101.382161
-4498.758128,23665,6149.042153
-4498.758128,23665,6194.702784
-4498.758128,23665,6241.378846
-5231.245089,23665,6286.876545
-5231.245089,23665,6335.187839
-9058.146095,23665,6383.045869
-9058.146095,23665,6429.533683
-9058.146095,23665,6476.768893
-2085.05695,23665,6523.716646
-2085.05695,23665,6569.89906
-2119.744391,23665,6616.877047
-2119.744391,23665,6662.578926
-2119.744391,23665,6708.921841
-4527.530214,23665,6754.317953
-4527.530214,23665,6800.90645
-4527.530214,23665,6846.317132
-4088.120228,23665,6892.445051
-4088.120228,23665,6939.665501
-1710.256117,23665,6986.89908
-1710.256117,23665,7032.361731
-1710.256117,23665,7079.522627
-2338.108787,23665,7125.230211
-2338.108787,23665,7171.975355
-5283.2443,23665,7219.611277
-5283.2443,23665,7265.517459
-5283.2443,23665,7312.348825
-2848.27393,23665,7359.498346
-2848.27393,23665,7405.364614
-2457.451838,23665,7451.684933
-2457.451838,23665,7498.487262
-2457.451838,23665,7544.294928
-1080.480221,23665,7590.725979
-1080.480221,23665,7638.473721
-1422.011169,23665,7684.411073
-1422.011169,23665,7730.800244
-1422.011169,23665,7776.315884
-3740.646258,23665,7822.737221
-3740.646258,23665,7869.681942
-3740.646258,23665,7915.497674
-433.612336,23665,7962.374708
-433.612336,23665,8008.388233
-694.489147,23665,8055.138267
-694.489147,23665,8100.469995
-694.489147,23665,8147.285774
-316.920864,23665,8192.836637
-316.920864,23665,8239.677142
-1248.043691,23665,8285.204174
-1248.043691,23665,8331.862264
